Gender,Age,AgeGroup,TotalSpendings,ServiceCost,Profit
female,32,30-34,44035.04,26923.9,17111.14
Male,35,35-39,43611.53,22265.43,21346.1
Male,45,45-49,36401.05,16699.97,19701.08
male,31,30-34,65222.79,22419.95,42802.84
Female,36,35-39,62562.79,27873.04,34689.75
female,40,40-44,49330.81,37836.46,11494.35
male,36,35-39,71793.45,30364.11,41429.34
Male,33,30-34,49869.0,30915.87,18953.13
female,53,50-54,60964.33,30026.99,30937.34
Male,49,45-49,55661.61,40238.54,15423.07
Female,36,35-39,44255.02,34062.91,10192.11
male,33,30-34,51823.59,29882.3,21941.29
Female,41,40-44,53727.24,25210.67,28516.57
male,34,30-34,36957.33,19916.05,17041.28
Male,52,50-54,52879.76,43219.63,9660.13
Female,48,45-49,61409.45,36428.94,24980.51
Female,34,30-34,43084.7,28452.81,14631.89
Male,48,45-49,47895.78,44351.66,3544.12
Female,50,50-54,38903.96,29938.98,8964.98
female,32,30-34,45172.02,23466.03,21705.99
male,40,40-44,45947.97,39773.29,6174.68
male,36,35-39,65781.62,19752.07,46029.55
male,46,45-49,46828.1,26792.82,20035.28
female,54,50-54,44696.79,20394.75,24302.04
male,38,35-39,49060.43,23605.2,25455.23
Male,50,50-54,32923.14,31598.64,1324.5
Female,38,35-39,26412.86,32697.53,-6284.67
female,39,35-39,36178.85,21182.46,14996.39
male,42,40-44,53241.03,44473.28,8767.75
Male,44,40-44,49973.23,13286.9,36686.33
Female,51,50-54,58691.05,31036.57,27654.48
Female,34,30-34,34796.29,31241.21,3555.08
female,32,30-34,47959.37,32107.86,15851.51
female,37,35-39,34081.78,37034.63,-2952.85
female,49,45-49,52673.21,5604.02,47069.19
Male,39,35-39,36221.02,23807.6,12413.42
Male,42,40-44,47566.32,31210.14,16356.18
female,32,30-34,52063.97,43624.61,8439.36
male,51,50-54,46088.01,25345.44,20742.57
Female,37,35-39,27380.5,28460.77,-1080.27
Female,38,35-39,66623.33,35803.67,30819.66
Male,51,50-54,45026.24,20323.49,24702.75
Female,50,50-54,33904.93,30179.56,3725.37
male,41,40-44,57611.96,29158.92,28453.04
Female,40,40-44,57985.7,25126.22,32859.48
Male,31,30-34,46978.19,34024.33,12953.86
Male,47,45-49,65362.48,47255.32,18107.16
male,38,35-39,42593.04,31389.69,11203.35
male,31,30-34,51756.49,12120.76,39635.73
Female,31,30-34,55108.02,23031.07,32076.95
Female,32,30-34,65139.98,41834.48,23305.5
Male,45,45-49,30566.91,28083.67,2483.24
male,48,45-49,72918.06,20616.63,52301.43
male,33,30-34,61738.73,36036.39,25702.34
male,52,50-54,54494.56,24890.66,29603.9
Female,54,50-54,42003.48,30280.45,11723.03
male,47,45-49,41163.31,20946.38,20216.93
Male,49,45-49,52878.31,26655.52,26222.79
Male,54,50-54,54938.0,29758.78,25179.22
Female,47,45-49,53648.68,29193.68,24455.0
female,39,35-39,51597.53,32997.18,18600.35
Female,40,40-44,54319.63,31609.66,22709.97
female,46,45-49,28143.77,21852.24,6291.53
male,53,50-54,47338.96,43486.54,3852.42
Female,54,50-54,36167.68,28745.84,7421.84
Male,52,50-54,49594.61,19195.69,30398.92
male,53,50-54,63064.66,12221.47,50843.19
Male,49,45-49,40913.13,30601.46,10311.67
male,45,45-49,42907.1,22589.87,20317.23
Female,49,45-49,41504.83,34582.44,6922.39
female,42,40-44,42840.93,30386.88,12454.05
male,31,30-34,55540.53,61508.02,-5967.49
female,53,50-54,57871.97,19913.1,37958.87
male,31,30-34,64692.01,38461.49,26230.52
Male,54,50-54,39948.71,21283.21,18665.5
Male,43,40-44,56839.4,36647.65,20191.75
male,33,30-34,58503.69,41384.97,17118.72
female,46,45-49,66532.96,27244.89,39288.07
Female,42,40-44,40695.12,24166.39,16528.73
Female,33,30-34,29964.2,28747.34,1216.86
Male,32,30-34,47226.14,24055.96,23170.18
Female,41,40-44,78086.87,42884.92,35201.95
Male,51,50-54,39047.37,28419.36,10628.01
Female,52,50-54,54869.25,33516.25,21353.0
male,37,35-39,27834.71,33751.1,-5916.39
Male,31,30-34,68148.4,37137.51,31010.89
Male,35,35-39,31217.95,26383.91,4834.04
male,51,50-54,26088.7,36139.07,-10050.37
Male,39,35-39,50988.69,40410.99,10577.7
Female,41,40-44,51183.7,28754.58,22429.12
Female,50,50-54,64192.89,19336.02,44856.87
Male,39,35-39,58494.61,40948.76,17545.85
Female,39,35-39,29994.24,31389.12,-1394.88
female,52,50-54,48481.3,30033.59,18447.71
Male,32,30-34,43029.11,35414.1,7615.01
male,49,45-49,36649.48,41433.45,-4783.97
female,39,35-39,54336.73,28224.18,26112.55
Male,38,35-39,60429.81,40045.13,20384.68
male,49,45-49,41947.04,30576.83,11370.21
Female,48,45-49,46671.5,34990.43,11681.07
male,43,40-44,47338.14,25144.47,22193.67
female,31,30-34,43389.15,27969.4,15419.75
Female,34,30-34,45726.16,38677.41,7048.75
Male,49,45-49,43382.74,14285.12,29097.62
Female,37,35-39,51246.34,35603.58,15642.76
Male,36,35-39,44135.57,33036.17,11099.4
Male,35,35-39,54270.92,43288.18,10982.74
male,40,40-44,44098.92,38048.78,6050.14
male,41,40-44,56467.41,31414.83,25052.58
male,47,45-49,43883.15,19825.28,24057.87
female,48,45-49,56057.36,25355.35,30702.01
female,39,35-39,41514.09,28184.64,13329.45
male,54,50-54,58853.63,41936.2,16917.43
female,54,50-54,32219.75,36406.14,-4186.39
Female,50,50-54,49941.54,23639.73,26301.81
Female,43,40-44,44328.49,33222.47,11106.02
female,32,30-34,49538.19,26329.86,23208.33
female,47,45-49,38140.11,24833.46,13306.65
Female,53,50-54,48054.03,35028.55,13025.48
Male,44,40-44,38906.46,28844.71,10061.75
Female,35,35-39,47618.3,20685.91,26932.39
Female,39,35-39,46688.48,36615.46,10073.02
female,41,40-44,53299.23,31216.01,22083.22
Female,36,35-39,50658.09,27069.17,23588.92
female,46,45-49,68783.02,41939.76,26843.26
female,30,30-34,44900.65,38512.99,6387.66
male,47,45-49,48673.71,30972.78,17700.93
Female,44,40-44,81843.07,16304.49,65538.58
Male,48,45-49,47764.48,38884.19,8880.29
male,30,30-34,59532.21,26132.63,33399.58
female,34,30-34,55765.5,28737.03,27028.47
female,44,40-44,73347.8,27578.18,45769.62
Male,32,30-34,35693.54,19635.11,16058.43
female,30,30-34,34554.19,33620.05,934.14
Female,37,35-39,38821.2,23258.64,15562.56
male,41,40-44,51727.79,33205.49,18522.3
female,51,50-54,39965.98,22511.41,17454.57
female,54,50-54,28665.58,26365.26,2300.32
Male,48,45-49,40756.42,32920.93,7835.49
Female,54,50-54,53685.83,30988.47,22697.36
female,54,50-54,40964.04,34973.63,5990.41
Male,41,40-44,61424.12,35577.77,25846.35
female,42,40-44,38746.15,40658.63,-1912.48
Male,30,30-34,50141.44,29994.04,20147.4
Male,48,45-49,46090.75,39655.83,6434.92
Female,35,35-39,51884.8,27420.76,24464.04
female,37,35-39,52888.54,36222.9,16665.64
Female,33,30-34,65851.96,38988.51,26863.45
Male,34,30-34,56898.46,38958.38,17940.08
male,54,50-54,45792.34,18329.52,27462.82
female,51,50-54,56128.63,4840.3,51288.33
male,36,35-39,57502.48,34440.65,23061.83
female,52,50-54,70449.66,30020.12,40429.54
Female,33,30-34,48428.67,32243.33,16185.34
Female,49,45-49,49170.85,30733.36,18437.49
Female,33,30-34,63122.99,27286.09,35836.9
Female,44,40-44,30014.79,34580.67,-4565.88
Female,50,50-54,47953.62,32711.54,15242.08
male,34,30-34,56943.33,29161.57,27781.76
Female,53,50-54,60472.13,30231.5,30240.63
Male,38,35-39,27906.49,34935.16,-7028.67
Male,31,30-34,36617.32,25246.56,11370.76
male,36,35-39,25073.1,21106.26,3966.84
female,46,45-49,58729.39,20982.92,37746.47
Male,45,45-49,52044.57,25931.47,26113.1
female,46,45-49,64190.14,41875.55,22314.59
male,49,45-49,50291.67,31062.16,19229.51
female,52,50-54,72409.84,24567.84,47842.0
female,31,30-34,40569.7,31618.42,8951.28
female,40,40-44,46328.61,21645.67,24682.94
female,31,30-34,54128.3,28513.33,25614.97
male,30,30-34,42872.46,26716.63,16155.83
Male,31,30-34,54171.66,19413.77,34757.89
Female,52,50-54,48893.47,38745.84,10147.63
female,38,35-39,48310.78,26986.99,21323.79
Male,51,50-54,48747.17,29692.52,19054.65
Male,31,30-34,57054.0,35574.51,21479.49
male,44,40-44,46571.1,32814.28,13756.82
Male,39,35-39,38800.53,30617.62,8182.91
male,44,40-44,50671.69,28095.64,22576.05
female,39,35-39,43660.84,35825.53,7835.31
female,54,50-54,40007.88,29942.25,10065.63
Female,52,50-54,32690.14,31153.48,1536.66
Female,46,45-49,59311.32,38903.03,20408.29
Female,38,35-39,56624.99,39356.2,17268.79
Male,47,45-49,64074.13,32149.77,31924.36
female,33,30-34,50027.75,30836.89,19190.86
male,38,35-39,60785.52,35246.56,25538.96
Female,45,45-49,40563.32,27986.75,12576.57
male,33,30-34,30918.88,28007.74,2911.14
male,45,45-49,42483.44,29498.52,12984.92
Female,48,45-49,47940.56,21852.31,26088.25
female,30,30-34,53604.56,48899.07,4705.49
Female,52,50-54,62808.54,26802.4,36006.14
male,35,35-39,53220.8,33741.05,19479.75
Female,39,35-39,72573.97,29864.55,42709.42
male,45,45-49,51198.2,35503.62,15694.58
male,33,30-34,51007.35,26927.51,24079.84
Female,51,50-54,53382.03,31734.48,21647.55
Male,51,50-54,53789.52,23198.25,30591.27
Female,42,40-44,53645.89,39713.6,13932.29
Male,45,45-49,37677.48,35292.48,2385.0
male,49,45-49,58521.93,18669.08,39852.85
male,35,35-39,75056.85,30113.1,44943.75
Male,40,40-44,41170.16,18876.18,22293.98
male,53,50-54,49587.61,23604.03,25983.58
Male,32,30-34,36272.09,37367.88,-1095.79
Male,49,45-49,57519.21,10111.63,47407.58
male,39,35-39,57509.61,38362.07,19147.54
female,30,30-34,34959.67,33030.37,1929.3
Male,49,45-49,36875.48,29359.05,7516.43
Female,40,40-44,29183.35,37023.14,-7839.79
Female,41,40-44,65703.8,51622.42,14081.38
male,43,40-44,41612.83,19366.17,22246.66
female,54,50-54,48657.89,43548.1,5109.79
male,37,35-39,46333.46,37731.26,8602.2
female,40,40-44,59884.48,24361.71,35522.77
Male,33,30-34,56602.22,34198.31,22403.91
Male,36,35-39,56068.21,21103.0,34965.21
Male,39,35-39,41879.44,26059.11,15820.33
Male,48,45-49,56812.31,13159.7,43652.61
Female,54,50-54,59284.37,19211.38,40072.99
Female,33,30-34,56516.97,33053.59,23463.38
male,31,30-34,37109.38,33761.78,3347.6
female,50,50-54,38702.56,33673.21,5029.35
Male,47,45-49,67371.24,35089.44,32281.8
Male,43,40-44,69439.46,30947.62,38491.84
female,45,45-49,49300.23,35426.84,13873.39
female,51,50-54,49287.29,38584.78,10702.51
male,40,40-44,51574.15,31971.24,19602.91
female,39,35-39,55790.04,26524.99,29265.05
Male,46,45-49,35574.97,28836.94,6738.03
Male,43,40-44,52304.19,23310.01,28994.18
Male,51,50-54,39692.49,36811.15,2881.34
Male,33,30-34,49797.59,17156.39,32641.2
Male,48,45-49,41161.7,28725.13,12436.57
male,31,30-34,43517.16,34553.08,8964.08
Male,36,35-39,51815.87,21839.37,29976.5
male,38,35-39,43826.96,18816.0,25010.96
Male,48,45-49,39011.5,11762.89,27248.61
Female,45,45-49,64535.09,27725.38,36809.71
Female,51,50-54,39154.57,20851.92,18302.65
Female,54,50-54,26895.43,37014.0,-10118.57
Female,45,45-49,55687.65,17587.5,38100.15
male,47,45-49,47103.2,34229.39,12873.81
male,52,50-54,49706.62,19583.68,30122.94
female,50,50-54,51581.83,17895.17,33686.66
Male,50,50-54,62706.55,20372.02,42334.53
Female,40,40-44,68637.98,38602.67,30035.31
male,36,35-39,52534.45,20377.39,32157.06
Male,38,35-39,38242.73,39135.38,-892.65
Male,33,30-34,51459.64,31621.21,19838.43
male,54,50-54,55891.82,25853.0,30038.82
Female,42,40-44,60036.36,21581.86,38454.5
female,54,50-54,51372.94,45235.45,6137.49
Male,33,30-34,44394.59,25293.19,19101.4
female,48,45-49,40932.12,25326.53,15605.59
Female,31,30-34,48834.46,41609.33,7225.13
Female,38,35-39,34989.96,43027.24,-8037.28
female,41,40-44,53943.81,28880.43,25063.38
Female,31,30-34,51773.16,39473.88,12299.28
Male,35,35-39,51723.46,25099.74,26623.72
female,34,30-34,57176.27,47975.78,9200.49
Female,34,30-34,64509.71,19509.86,44999.85
female,49,45-49,49295.69,22687.43,26608.26
Male,51,50-54,50769.33,40501.91,10267.42
Female,34,30-34,46303.35,27685.85,18617.5
Male,33,30-34,55515.11,40977.31,14537.8
Female,38,35-39,49923.84,26270.46,23653.38
male,51,50-54,61550.6,35274.11,26276.49
Female,39,35-39,61340.47,24456.06,36884.41
female,45,45-49,53160.75,29394.05,23766.7
Female,39,35-39,49203.89,19756.0,29447.89
Male,39,35-39,47267.53,29617.12,17650.41
Male,48,45-49,54803.67,22977.48,31826.19
Female,39,35-39,54830.27,46580.41,8249.86
female,35,35-39,47263.67,27434.48,19829.19
male,46,45-49,52884.43,20418.73,32465.7
female,34,30-34,42257.78,35534.73,6723.05
male,35,35-39,54509.29,20336.93,34172.36
Male,53,50-54,43098.1,37015.84,6082.26
female,44,40-44,57720.36,25536.76,32183.6
male,54,50-54,46832.86,29698.24,17134.62
Female,48,45-49,66738.44,28482.08,38256.36
Male,47,45-49,50390.98,27969.93,22421.05
Female,33,30-34,52379.65,30497.87,21881.78
Male,37,35-39,36013.38,24694.23,11319.15
female,45,45-49,64065.43,21263.9,42801.53
female,53,50-54,49620.65,30310.71,19309.94
Male,48,45-49,67395.05,26818.04,40577.01
Male,49,45-49,50482.44,19768.31,30714.13
Male,32,30-34,47858.73,34914.18,12944.55
female,39,35-39,44885.26,29869.25,15016.01
male,31,30-34,56421.83,21306.56,35115.27
Female,33,30-34,55207.57,28098.25,27109.32
Female,35,35-39,36659.65,28843.61,7816.04
female,40,40-44,44311.1,21753.73,22557.37
Female,43,40-44,57224.84,55299.34,1925.5
Male,45,45-49,43555.24,29937.69,13617.55
male,50,50-54,41829.63,28240.64,13588.99
Female,48,45-49,51962.44,49495.06,2467.38
male,31,30-34,50871.45,33652.68,17218.77
Male,54,50-54,45360.13,39669.96,5690.17
Female,46,45-49,67673.86,30754.39,36919.47
female,38,35-39,48509.89,30513.87,17996.02
male,46,45-49,37350.06,23157.58,14192.48
Male,44,40-44,33810.88,35351.09,-1540.21
male,36,35-39,60224.76,44789.55,15435.21
Female,51,50-54,39026.07,42616.83,-3590.76
Female,52,50-54,50304.42,20315.29,29989.13
female,48,45-49,41260.22,44876.49,-3616.27
Male,32,30-34,48978.88,23380.99,25597.89
Male,30,30-34,53479.87,22475.02,31004.85
female,33,30-34,36344.58,22913.09,13431.49
female,47,45-49,45442.98,26871.79,18571.19
Male,37,35-39,43264.1,14538.6,28725.5
male,48,45-49,40346.31,30421.95,9924.36
male,52,50-54,46243.34,27923.53,18319.81
female,52,50-54,43762.0,30332.15,13429.85
male,54,50-54,58729.88,26032.0,32697.88
Male,35,35-39,42842.23,17264.04,25578.19
Female,30,30-34,54508.23,27916.6,26591.63
Female,37,35-39,54158.27,39763.23,14395.04
male,30,30-34,34988.93,21918.62,13070.31
female,48,45-49,44943.0,22981.66,21961.34
female,40,40-44,48899.38,33639.03,15260.35
female,50,50-54,52654.12,20095.81,32558.31
female,53,50-54,47636.31,31806.5,15829.81
female,54,50-54,60419.14,33552.33,26866.81
male,44,40-44,51047.46,25495.81,25551.65
Female,52,50-54,54455.15,24002.01,30453.14
Female,54,50-54,44078.27,18727.61,25350.66
male,40,40-44,54600.8,23671.51,30929.29
female,48,45-49,69363.9,34542.14,34821.76
male,50,50-54,55265.85,36706.04,18559.81
Female,39,35-39,61030.15,30509.38,30520.77
Male,53,50-54,47084.51,25084.38,22000.13
male,41,40-44,59242.46,30586.48,28655.98
female,30,30-34,60115.69,23453.41,36662.28
Female,53,50-54,52454.49,31432.76,21021.73
Female,36,35-39,49252.49,35974.9,13277.59
Female,46,45-49,35049.13,26277.16,8771.97
Female,39,35-39,49676.16,23575.23,26100.93
female,35,35-39,55652.23,26098.26,29553.97
Male,46,45-49,42347.57,38700.09,3647.48
Female,47,45-49,37299.17,52330.64,-15031.47
male,34,30-34,51019.52,35188.67,15830.85
Male,47,45-49,52306.66,29414.74,22891.92
Female,46,45-49,36526.29,22211.92,14314.37
Male,51,50-54,50407.72,21715.46,28692.26
male,45,45-49,52899.28,33421.23,19478.05
Female,37,35-39,63213.04,23761.59,39451.45
male,53,50-54,45234.81,38179.87,7054.94
female,42,40-44,70864.22,25173.5,45690.72
Female,53,50-54,50538.85,41384.51,9154.34
Female,45,45-49,37980.57,26725.38,11255.19
Female,40,40-44,46698.14,39067.53,7630.61
Female,35,35-39,38871.54,35384.14,3487.4
female,32,30-34,48327.62,36775.47,11552.15
Female,30,30-34,54684.66,29451.73,25232.93
Male,47,45-49,52681.89,24686.22,27995.67
Female,34,30-34,38698.75,38076.04,622.71
female,42,40-44,37455.07,44345.13,-6890.06
Female,39,35-39,54193.89,21981.02,32212.87
Male,34,30-34,56440.99,33804.39,22636.6
female,43,40-44,45110.7,33774.03,11336.67
female,46,45-49,24623.28,31326.42,-6703.14
Male,30,30-34,38416.01,41449.02,-3033.01
Male,54,50-54,59863.0,23795.59,36067.41
Male,31,30-34,42614.7,38786.92,3827.78
Male,36,35-39,46527.68,27781.14,18746.54
Male,39,35-39,55533.4,11308.29,44225.11
female,49,45-49,46937.3,18340.38,28596.92
female,36,35-39,63974.23,30285.52,33688.71
Female,53,50-54,46265.63,39760.66,6504.97
Female,45,45-49,41393.47,38650.56,2742.91
male,34,30-34,61822.72,30842.97,30979.75
Female,41,40-44,50478.06,20837.63,29640.43
Female,46,45-49,39216.02,20339.21,18876.81
Male,45,45-49,54718.24,33364.26,-6462.087434649043
Male,49,45-49,47056.73,29661.81,17394.92
Female,45,45-49,38541.36,37767.69,773.67
male,48,45-49,50951.16,27343.41,23607.75
Male,44,40-44,48419.03,23824.36,24594.67
Female,41,40-44,33125.81,27774.37,5351.44
Female,50,50-54,39406.76,29895.32,9511.44
female,39,35-39,68653.46,13738.09,54915.37
male,51,50-54,50813.1,33783.45,17029.65
female,31,30-34,63466.7,31141.61,32325.09
male,36,35-39,53088.18,37576.25,15511.93
Male,42,40-44,62371.36,36240.03,26131.33
male,32,30-34,55557.49,38666.35,16891.14
Female,44,40-44,40536.71,43445.59,-2908.88
Female,30,30-34,56068.25,31116.47,24951.78
male,32,30-34,40472.23,12346.81,28125.42
male,54,50-54,59293.69,36889.93,22403.76
male,39,35-39,52177.24,39593.12,12584.12
female,44,40-44,50187.73,28180.71,22007.02
male,51,50-54,45614.69,13867.62,31747.07
Male,35,35-39,57984.43,38318.84,19665.59
female,49,45-49,48423.47,29845.24,18578.23
female,44,40-44,30901.05,19323.24,11577.81
male,53,50-54,32857.49,27860.3,4997.19
Male,50,50-54,37307.28,29960.71,7346.57
female,36,35-39,57841.8,27857.64,29984.16
Female,54,50-54,58602.51,25955.94,32646.57
female,50,50-54,53249.98,37615.55,15634.43
male,34,30-34,53144.09,40809.16,12334.93
Male,33,30-34,64461.35,45455.45,19005.9
male,51,50-54,53428.48,21970.19,31458.29
Female,47,45-49,56381.1,40406.25,15974.85
Female,32,30-34,49892.53,31527.18,18365.35
Female,46,45-49,45389.45,33006.32,12383.13
male,47,45-49,47197.65,39715.27,7482.38
female,47,45-49,70507.69,29600.84,40906.85
male,53,50-54,39132.81,28539.82,10592.99
Male,53,50-54,53143.12,24451.74,28691.38
female,31,30-34,34846.11,20666.97,14179.14
Female,42,40-44,43894.83,24940.63,18954.2
male,51,50-54,57738.26,31368.8,26369.46
Female,44,40-44,31900.38,29597.67,2302.71
Female,34,30-34,59047.39,26955.06,32092.33
Male,32,30-34,70475.44,27201.94,43273.5
female,34,30-34,53651.61,38410.75,15240.86
Male,34,30-34,62619.14,31405.07,31214.07
Male,34,30-34,52480.38,22052.95,30427.43
Male,32,30-34,57110.89,30463.21,26647.68
Female,32,30-34,54537.66,34928.77,19608.89
Male,49,45-49,44899.44,37651.56,7247.88
Male,52,50-54,44003.17,34513.12,9490.05
female,47,45-49,61814.57,36788.27,25026.3
female,49,45-49,49577.86,34048.48,15529.38
Male,33,30-34,48582.28,13944.96,34637.32
female,30,30-34,48375.13,28717.74,19657.39
female,45,45-49,53064.07,29277.93,23786.14
Male,37,35-39,38144.79,46314.91,-8170.12
Female,46,45-49,48178.56,36075.02,12103.54
Male,37,35-39,53105.59,27672.42,25433.17
female,36,35-39,37209.14,23818.37,13390.77
Female,54,50-54,52092.32,27247.66,24844.66
male,37,35-39,41023.73,23532.85,17490.88
Female,50,50-54,53124.37,47438.75,5685.62
female,53,50-54,71585.12,29877.85,41707.27
Female,41,40-44,48791.37,36598.64,12192.73
Male,45,45-49,39213.66,34122.69,5090.97
male,41,40-44,52370.84,35258.67,17112.17
male,48,45-49,54742.1,22954.83,31787.27
male,39,35-39,40630.77,40698.19,-67.42
female,36,35-39,32815.2,29293.43,3521.77
female,41,40-44,40661.41,42003.21,-1341.8
male,49,45-49,49516.48,33405.35,16111.13
Female,34,30-34,45446.86,44031.84,1415.02
male,45,45-49,60774.94,34802.54,25972.4
Female,38,35-39,55171.13,28515.11,26656.02
Female,36,35-39,51019.86,41245.0,9774.86
female,49,45-49,32550.41,31106.48,1443.93
Female,51,50-54,56304.02,34304.67,21999.35
male,43,40-44,69791.77,30714.02,39077.75
female,40,40-44,58623.06,25672.51,32950.55
Male,36,35-39,43423.05,28724.62,14698.43
Male,39,35-39,48636.48,35693.21,12943.27
female,38,35-39,54590.8,37777.33,16813.47
male,33,30-34,63866.61,13842.91,50023.7
Male,45,45-49,42942.49,32562.52,10379.97
Male,39,35-39,45344.86,29376.79,15968.07
Female,48,45-49,49568.33,19038.84,30529.49
Female,53,50-54,48693.17,36860.09,11833.08
male,46,45-49,57923.6,44453.14,13470.46
female,38,35-39,52622.98,41853.38,10769.6
male,42,40-44,36028.23,11333.7,24694.53
female,30,30-34,43432.18,32596.24,10835.94
Male,31,30-34,43720.03,24802.69,18917.34
Female,42,40-44,27850.83,26414.16,1436.67
male,53,50-54,59296.37,27982.56,31313.81
male,38,35-39,51324.25,12218.87,39105.38
female,36,35-39,44593.21,13534.27,31058.94
female,45,45-49,59026.1,30681.56,28344.54
male,48,45-49,53013.29,31981.62,21031.67
female,36,35-39,37138.79,28437.01,8701.78
male,35,35-39,56095.92,20010.22,36085.7
male,47,45-49,63729.63,26767.49,36962.14
male,48,45-49,48601.03,41563.52,7037.51
Male,40,40-44,49329.51,27097.9,22231.61
female,41,40-44,51077.6,25977.63,25099.97
Female,39,35-39,37821.06,39894.95,-2073.89
Female,42,40-44,51414.2,28274.03,23140.17
female,41,40-44,41085.03,35443.46,5641.57
male,50,50-54,49934.74,33686.82,16247.92
Female,39,35-39,51658.92,22862.02,28796.9
Female,49,45-49,55307.9,22074.36,33233.54
female,47,45-49,55675.57,19216.72,36458.85
Female,33,30-34,40723.08,21922.46,18800.62
male,53,50-54,51876.13,36615.93,15260.2
female,34,30-34,59560.91,23425.6,36135.31
male,34,30-34,38466.17,28896.72,9569.45
Female,41,40-44,67451.03,27746.75,39704.28
Female,32,30-34,40275.8,33036.77,7239.03
male,37,35-39,66274.43,19082.15,47192.28
Male,51,50-54,40451.62,38784.41,1667.21
Female,31,30-34,49437.8,41489.61,7948.19
Male,47,45-49,48070.95,29798.77,18272.18
Female,38,35-39,36331.96,12083.04,24248.92
Male,42,40-44,56981.94,23127.25,33854.69
Male,36,35-39,57495.34,32528.08,24967.26
Male,39,35-39,56197.41,32977.17,23220.24
male,38,35-39,47515.21,27937.78,19577.43
Male,51,50-54,42982.44,38804.93,4177.51
Male,44,40-44,60991.56,25390.08,35601.48
Male,34,30-34,52134.44,37872.85,14261.59
Female,41,40-44,42437.13,30008.04,12429.09
Male,30,30-34,52145.37,25471.32,26674.05
Female,41,40-44,33252.97,35852.56,-2599.59
Male,51,50-54,51077.87,29648.69,21429.18
Male,35,35-39,56557.74,37099.8,19457.94
male,48,45-49,48205.92,53250.97,-5045.05
Female,48,45-49,57109.07,22528.09,34580.98
Male,45,45-49,58132.2,37046.33,21085.87
Female,48,45-49,52753.16,35103.61,17649.55
Female,32,30-34,67680.7,44234.48,23446.22
female,52,50-54,63539.56,37313.18,26226.38
male,39,35-39,56273.33,42583.5,13689.83
male,47,45-49,53551.28,22129.76,31421.52
male,42,40-44,47436.29,19795.36,27640.93
female,47,45-49,43528.37,22475.02,21053.35
female,32,30-34,57974.86,28745.24,29229.62
male,52,50-54,48008.47,41060.11,6948.36
female,32,30-34,39859.09,42845.97,-2986.88
female,52,50-54,41978.41,27081.41,14897.0
female,54,50-54,43298.1,29102.18,14195.92
male,41,40-44,67535.52,20624.31,46911.21
male,49,45-49,58478.28,30582.14,27896.14
male,36,35-39,50342.76,28414.32,21928.44
female,54,50-54,54139.5,28437.37,25702.13
male,53,50-54,55300.3,39445.82,15854.48
female,37,35-39,41314.09,33238.47,8075.62
Male,38,35-39,38324.33,19540.56,18783.77
female,43,40-44,60515.43,9598.39,50917.04
Female,34,30-34,36502.77,34415.79,2086.98
male,50,50-54,49825.68,31858.98,17966.7
male,48,45-49,42782.72,33021.2,9761.52
Female,50,50-54,52209.9,31860.03,20349.87
female,45,45-49,47469.48,20843.53,26625.95
Male,53,50-54,55339.82,28481.81,26858.01
Female,41,40-44,26888.36,27554.83,-666.47
Female,50,50-54,61206.7,29349.88,31856.82
female,33,30-34,57353.84,37026.88,20326.96
male,37,35-39,60115.45,25380.84,34734.61
female,36,35-39,58963.87,20752.02,38211.85
Female,44,40-44,53137.98,40719.58,12418.4
Female,35,35-39,43586.51,24157.91,19428.6
male,34,30-34,54384.32,39219.47,15164.85
male,43,40-44,52895.37,47211.69,5683.68
male,50,50-54,58765.62,42056.78,16708.84
female,42,40-44,56216.5,35315.95,20900.55
male,39,35-39,50942.31,28414.54,22527.77
Female,47,45-49,54331.28,37304.65,17026.63
Female,33,30-34,55217.3,29816.72,25400.58
Male,37,35-39,60883.3,41323.41,19559.89
female,53,50-54,67358.81,35108.29,32250.52
Male,40,40-44,55970.82,33026.59,22944.23
Female,46,45-49,55263.73,30394.07,24869.66
Male,47,45-49,47770.04,26046.72,21723.32
Female,50,50-54,46566.82,29981.93,16584.89
Male,54,50-54,42741.78,32342.59,10399.19
male,40,40-44,18002.39,27944.44,-9942.05
Male,45,45-49,41607.87,32384.11,9223.76
male,41,40-44,48272.71,37884.85,10387.86
male,42,40-44,46937.39,32220.57,14716.82
female,45,45-49,54566.04,25724.72,28841.32
male,52,50-54,41959.78,7954.81,34004.97
male,50,50-54,42399.96,39710.08,2689.88
Male,30,30-34,28862.96,29115.38,-252.42
Female,45,45-49,54714.29,31603.71,23110.58
female,44,40-44,41121.65,34359.94,6761.71
male,35,35-39,42839.93,34361.98,8477.95
female,41,40-44,55647.47,36062.25,19585.22
Male,37,35-39,41172.7,38070.65,3102.05
male,36,35-39,53803.38,36044.32,17759.06
Male,31,30-34,37933.75,5063.74,32870.01
female,41,40-44,49788.76,33143.84,16644.92
Male,50,50-54,43903.48,32039.96,11863.52
female,43,40-44,47337.05,27977.59,19359.46
Male,45,45-49,65116.8,33836.25,31280.55
female,40,40-44,33607.12,30162.01,3445.11
Female,49,45-49,64224.11,25456.34,38767.77
Male,38,35-39,40812.25,39893.98,918.27
Male,39,35-39,58690.82,32782.3,25908.52
Female,46,45-49,60673.17,31379.95,29293.22
Female,41,40-44,54304.62,13331.66,40972.96
Male,35,35-39,37815.56,47029.06,-9213.5
Female,48,45-49,52724.3,15085.4,37638.9
male,40,40-44,75595.62,34193.63,41401.99
