name,contry_origin,domain,price_category,founded,presence_world,presence_russia,presence_regions
Ветеран,Россия,Ремонт и строительство,Средний,1997.0,,4,Саратов; Энгельс
Ветерок,Россия,Продукты питания,Средний,2012.0,,3,Москва
ВЕТНА,Россия,Зоотовары и услуги,Средний,2009.0,90.0,90,Москва; Альметьевск; Волгоград; Екатеринбург; Ижевск; Казань; Магнитогорск; Набережные Челны; Нефтекамск; Нижнекамск; Нижний Новгород; Октябрьский; Оренбург; Пенза; Пермь; Салават; Самара; Стерлитамак; Тольятти; Тюмень; Ульяновск; Уфа; Чебоксары; Челябинск
Вижу,Россия,Оптика,Средний,2003.0,,7,Балаково; Саратов
Виктория,Россия,Продукты питания,Средний,1993.0,,180,Москва; Калининград; Красногорск; Люберцы; Химки
Виктория Квартал,Россия,Продукты питания,Ниже среднего; Средний,1993.0,,33,Москва; Санкт-Петербург; Калининград
ВилГУД,Россия,Авто и товары для авто,Средний,2011.0,6.0,6 и 56 франчайзинговых,Москва; Санкт-Петербург; Братск; Брянск; Волгоград; Воронеж; Екатеринбург; Ижевск; Иркутск; Казань; Киров; Краснодар; Липецк; Магнитогорск; Нижний Новгород; Новороссийск; Новосибирск; Омск; Пермь; Ростов-на-Дону; Самара; Саратов; Томск; Тюмень; Уфа; Челябинск
Вилка - Ложка,Россия,"Кафе, ресторан",Средний,2002.0,30.0,30 и 11 франчайзинговых,Екатеринбург; Нижний Тагил; Новосибирск; Уфа
ВинЛаб,Россия,Вино и алкогольные напитки,Средний,1999.0,,400,Москва; Санкт-Петербург; Артем; Архангельск; Балашиха; Белогорск; Биробиджан; Благовещенск; Владивосток; Дмитров; Долгопрудный; Истра; Комсомольск-на-Амуре; Королев; Красногорск; Лобня; Люберцы; Мытищи; Находка; Нижний Новгород; Одинцово; Павловский Посад; Пермь; Подольск; Пушкино; Реутов; Северодвинск; Уссурийск; Фрязино; Хабаровск; Химки; Щелково; Электросталь; Южно-Сахалинск
ВИННИ,Россия,Товары и услуги для детей,Средний,1997.0,,13,Москва; Санкт-Петербург; Нижний Новгород
Винтерфелл,Россия,Услуги населению,Средний,2013.0,,14,Москва
Виола,Россия,Красота,Средний,2012.0,,9,Екатеринбург; Нижний Тагил
Випсилинг,Россия,Ремонт и строительство,Средний; Выше среднего; Люкс / Премиум,2004.0,117.0,117,Москва; Санкт-Петербург; Балашиха; Барнаул; Березники; Видное; Волгоград; Волжский; Воронеж; Дмитров; Долгопрудный; Домодедово; Егорьевск; Екатеринбург; Железнодорожный; Жуковский; Звенигород; Златоуст; Иркутск; Истра; Казань; Каменск-Уральский; Кемерово; Клин; Коломна; Копейск; Королев; Красногорск; Краснодар; Кстово; Курган; Липецк; Лобня; Люберцы; Магнитогорск; Миасс; Мытищи; Наро-Фоминск; Нефтекамск; Нефтеюганск; Нижневартовск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новосибирск; Ногинск; Одинцово; Омск; Орехово-Зуево; Павловский Посад; Пенза; Первоуральск; Пермь; Подольск; Пушкино; Раменское; Реутов; Ростов-на-Дону; Рыбинск; Салават; Самара; Сергиев Посад; Серпухов; Симферополь ; Солнечногорск; Сочи; Стерлитамак; Ступино; Сургут; Сызрань; Тобольск; Тольятти; Томск; Тюмень; Уфа; Фрязино; Химки; Чайковский; Челябинск; Шадринск; Щелково; Щербинка; Электросталь; Ялта; Ярославль
Вираж,Россия,Ремонт и строительство,Средний,1992.0,,5,Краснодар; Красноярск
Виртуозы,Россия,Хобби и увлечения,Ниже среднего,2009.0,,3 и 11 франчайзинговых,Москва; Санкт-Петербург; Армавир; Нижний Новгород; Новосибирск; Пермь; Тюмень; Уфа
Вита Плюс,Россия,Аптека,Средний,2005.0,150.0,150,Ессентуки; Кисловодск; Минеральные Воды; Невинномысск; Пятигорск; Ставрополь
Вита Экспресс,Россия,Аптека,Ниже среднего,1993.0,,810,Санкт-Петербург; Альметьевск; Арзамас; Астрахань; Балаково; Балашов; Батайск; Белебей; Бийск; Благовещенск; Борисоглебск; Бузулук; Владимир; Волгоград; Волжский; Воронеж; Гатчина; Гусь-Хрустальный; Дзержинск; Димитровград; Екатеринбург; Елабуга; Ессентуки; Златоуст; Иваново; Йошкар-Ола; Казань; Калуга; Каменск-Уральский; Камышин; Кинель; Киров; Колпино; Копейск; Королев; Кострома; Краснодар; Кстово; Кумертау; Липецк; Миасс; Набережные Челны; Невинномысск; Нефтекамск; Нижнекамск; Нижний Новгород; Нижний Тагил; Новокуйбышевск; Новочебоксарск; Ногинск; Октябрьский; Оренбург; Орск; Пенза; Первоуральск; Переславль-Залесский; Россошь; Ростов-на-Дону; Рыбинск; Рязань; Салават; Саранск; Саратов; Смоленск; Сочи; Ставрополь; Старый Оскол; Стерлитамак; Сызрань; Таганрог; Тамбов; Тверь; Тольятти; Туапсе; Тюмень; Ульяновск; Уфа; Чебоксары; Челябинск; Шахты; Электросталь; Энгельс; Ярославль
Виталий Классик,Россия,Одежда,Средний,1996.0,,6,Йошкар-Ола
ВкусВилл,Россия,Продукты питания,Средний,2009.0,400.0,400,Москва; Балашиха; Видное; Воскресенск; Дзержинский; Дмитров; Долгопрудный; Домодедово; Егорьевск; Железнодорожный; Жуковский; Зеленоград; Клин; Коломна; Королев; Котельники; Красногорск; Лобня; Луховицы; Люберцы; Мытищи; Наро-Фоминск; Ногинск; Одинцово; Орехово-Зуево; Павловский Посад; Подольск; Пушкино; Раменское; Реутов; Сергиев Посад; Серпухов; Солнечногорск; Ступино; Троицк; Фрязино; Химки; Щелково
Вкусная помощь,Россия,Сувениры и Подарки,Средний,2010.0,,10,Москва; Санкт-Петербург; Армавир; Волгоград; Волжский; Воронеж; Екатеринбург; Кемерово; Красноярск; Липецк; Новосибирск; Обнинск; Пятигорск; Ростов-на-Дону; Самара; Саранск; Сургут; Тольятти; Тюмень; Уфа; Челябинск
Вкуснолюбов,Россия,"Кафе, ресторан",Средний,2004.0,,16,Краснодар; Новороссийск; Ростов-на-Дону; Сочи
Владимир Михайлов,Россия,Ювелирные магазины,Люкс / Премиум,2007.0,1.0,22 и 4 франчайзинговых,Москва; Санкт-Петербург; Анапа; Воронеж; Краснодар; Новороссийск; Омск; Оренбург; Сочи
Владос,Россия,"Компьютеры, комплектующие, аксессуары",Средний,1991.0,,14,Анапа; Армавир; Краснодар; Майкоп; Ростов-на-Дону; Сочи; Туапсе
ВО!ВА!,Россия ,Одежда,Дисконт,2011.0,,41,Санкт-Петербург; Белгород; Брянск; Великий Новгород; Вологда; Воронеж; Калуга; Курск; Липецк; Мурманск; Нижний Новгород; Орел; Петрозаводск; Псков; Рыбинск; Смоленск; Сызрань; Тамбов; Тверь; Тула; Ульяновск; Чебоксары; Череповец; Энгельс; Ярославль
ВОДОПАД,Россия,Ремонт и строительство,Средний,1999.0,,11,Санкт-Петербург
Водяной,Россия,Все для дома,Средний,1997.0,,5,Курск
Военно-правовой центр,Россия,Услуги населению,Средний,2007.0,,1 и 1 франчайзинговых,Калининград
Военторг,Россия,Одежда,Ниже среднего; Средний,2008.0,,60,Москва; Одинцово
Возрождение,Россия,"Банк, кредит, заем",Средний,1991.0,,176,Москва; Санкт-Петербург; Барнаул; Волгоград; Волгодонск; Калининград; Калуга; Краснодар; Магадан; Махачкала; Мурманск; Нижний Новгород; Новороссийск; Петрозаводск; Ростов-на-Дону; Саранск; Ставрополь; Тула; Хабаровск; Ярославль
Воккер,Россия,"Кафе, ресторан",Средний,2008.0,,38 и 23 франчайзинговых,Москва; Астрахань; Екатеринбург; Иркутск; Краснодар; Красноярск; Мытищи; Новосибирск; Омск; Петропавловск-Камчатский; Ростов-на-Дону; Тверь; Тюмень
Волконский,Россия,"Кафе, ресторан",Средний; Выше среднего,2005.0,60.0,4,Москва; Санкт-Петербург; Воронеж; Нижний Новгород
Воображуля,Россия,Красота,Средний,2010.0,,3,Санкт-Петербург; Астрахань; Великий Новгород; Вологда; Ижевск; Курск; Ноябрьск; Орел; Пермь; Сочи; Тверь; Улан-Удэ; Хабаровск; Череповец; Чита
Восток-Сервис,Россия,Одежда,Ниже среднего,1992.0,,250,Москва; Санкт-Петербург; Архангельск; Астрахань; Барнаул; Белгород; Великий Новгород; Владивосток; Владимир; Волгоград; Воронеж; Екатеринбург; Иваново; Ижевск; Иркутск; Казань; Кемерово; Киров; Краснодар; Красноярск; Курган; Курск; Липецк; Магадан; Мурманск; Нижневартовск; Нижний Новгород; Новосибирск; Омск; Орел; Оренбург; Пенза; Пермь; Петрозаводск; Ростов-на-Дону; Рязань; Самара; Саратов; Ставрополь; Стерлитамак; Тверь; Тольятти; Томск; Тула; Ульяновск; Уфа; Хабаровск; Челябинск; Южно-Сахалинск; Ярославль
Восторг,Россия,Одежда,Ниже среднего,2013.0,,10,Ленинск-Кузнецкий; Прокопьевск
Восточный,Россия,"Банк, кредит, заем",Средний,1991.0,,624,Москва; Санкт-Петербург; Абакан; Азов; Александров; Альметьевск; Апатиты; Арзамас; Армавир; Архангельск; Астрахань; Балаково; Балашиха; Балашов; Барнаул; Батайск; Белгород; Белогорск; Березники; Бийск; Благовещенск; Борисоглебск; Боровичи; Братск; Брянск; Бузулук; Великие Луки; Великий Новгород; Великий Устюг; Владивосток; Владимир; Волгоград; Волгодонск; Волжский; Вологда; Воронеж; Воскресенск; Воткинск; Геленджик; Глазов; Горно-Алтайск; Губкин; Гусь-Хрустальный; Дзержинск; Димитровград; Дмитров; Долгопрудный; Домодедово; Дубна; Дятьково; Егорьевск; Екатеринбург; Елабуга; Елец; Ессентуки; Железногорск; Железнодорожный; Жуковский; Зеленоград; Златоуст; Иваново; Ижевск; Иркутск; Искитим; Ишим; Йошкар-Ола; Казань; Калининград; Калуга; Каменск-Уральский; Камышин; Кемерово; Кингисепп; Кинель; Киров; Кисловодск; Клинцы; Ковров; Когалым; Коломна; Колпино; Комсомольск-на-Амуре; Копейск; Королев; Кострома; Красногорск; Красноярск; Кстово; Курган; Курск; Кызыл; Лангепас; Ленинск-Кузнецкий; Лесосибирск; Липецк; Лобня; Люберцы; Лянтор; Магадан; Магнитогорск; Миасс; Минеральные Воды; Мончегорск; Мурманск; Муром; Набережные Челны; Надым; Наро-Фоминск; Находка; Невинномысск; Нефтеюганск; Нижнекамск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новокуйбышевск; Новомосковск; Новороссийск; Новосибирск; Новочебоксарск; Новочеркасск; Новошахтинск; Новый Уренгой; Ногинск; Норильск; Ноябрьск; Нягань; Обнинск; Одинцово; Омск; Оренбург; Орехово-Зуево; Орск; Павловский Посад; Пенза; Первоуральск; Переславль-Залесский; Пермь; Петрозаводск; Петропавловск-Камчатский; Подольск; Псков; Пятигорск; Россошь; Ростов-на-Дону; Рубцовск; Рыбинск; Рязань; Салават; Салехард; Самара; Саранск; Сарапул; Саратов; Саров; Саянск; Северодвинск; Сергиев Посад; Серов; Серпухов; Смоленск; Сосновый Бор; Сочи; Ставрополь; Старый Оскол; Стерлитамак; Сызрань; Сыктывкар; Таганрог; Тамбов; Тарко-Сале; Тверь; Тобольск; Тольятти; Томск; Троицк; Туапсе; Тула; Тюмень; Улан-Удэ; Ульяновск; Усолье-Сибирское; Уссурийск; Уфа; Ухта; Хабаровск; Ханты-Мансийск; Химки; Чайковский; Череповец; Чехов; Чита; Шадринск; Шахты; Щелково; Электрогорск; Электросталь; Энгельс; Югорск; Южно-Сахалинск; Якутск; Ярославль
Восточный пекарь,Россия,"Кафе, ресторан",Средний,2010.0,,20,Москва; Балашиха; Видное; Волоколамск; Воскресенск; Дзержинский; Дмитров; Долгопрудный; Домодедово; Дубна; Егорьевск; Железнодорожный; Жуковский; Звенигород; Зеленоград; Истра; Клин; Коломна; Королев; Котельники; Красногорск; Лобня; Луховицы; Люберцы; Московский; Мытищи; Наро-Фоминск; Ногинск; Одинцово; Орехово-Зуево; Павловский Посад; Подольск; Пушкино; Раменское; Реутов; Сергиев Посад; Серпухов; Солнечногорск; Старая Купавна; Ступино; Троицк; Тюмень; Фрязино; Химки; Шатура; Щелково; Щербинка; Электрогорск; Электросталь; Ярославль
Воткинские термы,Россия,"Здоровье, лечение, профилактика",Ниже среднего; Средний,2015.0,,2 и 56 франчайзинговых,Воткинск; Ижевск
ВотОнЯ,Россия,Товары и услуги для детей,Средний,2012.0,,67,Санкт-Петербург; Выборг; Гатчина; Сосновый Бор
Впрок,Россия,Все для дома,Средний,2017.0,40.0,40,Альметьевск; Березники; Екатеринбург; Елабуга; Казань; Набережные Челны; Нижнекамск; Пермь; Соликамск
Времена года,Россия,Аксессуары,Средний,2013.0,,5,Москва; Королев; Красногорск; Лобня; Люберцы; Реутов
Все для дома,Россия,Все для дома,Средний,,12.0,12,Москва
Все свои!,Россия,"Здоровье, лечение, профилактика",Дисконт; Ниже среднего,2005.0,,28,Москва; Санкт-Петербург; Нижний Новгород; Химки
ВсеИнструменты.ру,Россия,Ремонт и строительство,Средний,2006.0,283.0,133 и 150 франчайзинговых,Москва; Санкт-Петербург; Абакан; Александров; Анапа; Ангарск; Арзамас; Армавир; Архангельск; Астрахань; Балашиха; Барнаул; Батайск; Белгород; Березники; Бийск; Благовещенск; Бронницы; Брянск; Бузулук; Великий Новгород; Владикавказ; Владимир; Волгоград; Волгодонск; Волжский; Вологда; Волоколамск; Воронеж; Воскресенск; Воткинск; Гатчина; Гусь-Хрустальный; Дзержинск; Дмитров; Долгопрудный; Домодедово; Дубна; Егорьевск; Екатеринбург; Железнодорожный; Жуковский; Зеленоград; Иваново; Ижевск; Иркутск; Йошкар-Ола; Казань; Калининград; Калуга; Кашира; Кемерово; Киров; Клинцы; Ковров; Колпино; Королев; Кострома; Котельники; Красногорск; Краснодар; Красноярск; Курган; Курск; Липецк; Люберцы; Магнитогорск; Миасс; Можайск; Мурманск; Муром; Мытищи; Набережные Челны; Нальчик; Наро-Фоминск; Нефтекамск; Нефтеюганск; Нижнекамск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новомосковск; Новороссийск; Новосибирск; Новочеркасск; Новошахтинск; Ногинск; Обнинск; Одинцово; Озерск; Омск; Орел; Оренбург; Орехово-Зуево; Орск; Пенза; Пермь; Петрозаводск; Подольск; Псков; Пушкино; Раменское; Реутов; Россошь; Ростов-на-Дону; Рыбинск; Рязань; Салехард; Самара; Саранск; Саратов; Саров; Северодвинск; Сергиев Посад; Серов; Серпухов; Смоленск; Солнечногорск; Сочи; Ставрополь; Старый Оскол; Ступино; Сургут; Сыктывкар; Таганрог; Тамбов; Тверь; Темрюк; Тольятти; Томск; Троицк; Тула; Тюмень; Ульяновск; Уфа; Ухта; Химки; Чайковский; Чебоксары; Челябинск; Череповец; Чехов; Шахты; Щелково; Электросталь; Энгельс; Ярославль
ВсеСам+,Россия,Ремонт и строительство,Средний,1990.0,,15,Златоуст; Каменск-Уральский; Копейск; Курган; Магнитогорск; Миасс; Челябинск
ВТБ Банк Москвы,Россия,"Банк, кредит, заем",Средний,1995.0,3.0,229,Москва; Санкт-Петербург; Балашиха; Березники; Видное; Владикавказ; Воскресенск; Дмитров; Долгопрудный; Дубна; Егорьевск; Екатеринбург; Железногорск; Железнодорожный; Жуковский; Зеленоград; Искитим; Казань; Кемерово; Клин; Коломна; Королев; Красногорск; Краснодар; Красноярск; Курск; Ленинск-Кузнецкий; Люберцы; Майкоп; Набережные Челны; Наро-Фоминск; Невинномысск; Нижний Новгород; Нижний Тагил; Новокузнецк; Новороссийск; Новосибирск; Новотроицк; Ногинск; Одинцово; Оренбург; Орехово-Зуево; Орск; Первоуральск; Пермь; Подольск; Пушкино; Пятигорск; Раменское; Реутов; Ростов-на-Дону; Сергиев Посад; Серпухов; Сочи; Ставрополь; Ступино; Таганрог; Уфа; Химки; Чайковский; Щелково; Электросталь; Южно-Сахалинск
ВТБ24,Россия,"Банк, кредит, заем",Средний,2006.0,,500,Москва; Санкт-Петербург; Архангельск; Астрахань; Барнаул; Белгород; Благовещенск; Брянск; Владимир; Волгоград; Волгодонск; Воронеж; Иваново; Иркутск; Калининград; Калуга; Кемерово; Киров; Кострома; Краснодар; Красноярск; Курган; Курск; Липецк; Магадан; Мурманск; Нижний Новгород; Новосибирск; Омск; Орел; Оренбург; Пенза; Пермь; Петропавловск-Камчатский; Псков; Ростов-на-Дону; Рязань; Самара; Саратов; Смоленск; Ставрополь; Тамбов; Тверь; Томск; Тула; Тюмень; Ульяновск; Хабаровск; Челябинск; Ярославль
Вулкан,Россия,Продукты питания,Средний,2008.0,,11,Иркутск
,,,Неизвестно,,,,
Высотный Город,Россия,Развлечения,Средний,2007.0,,3,Санкт-Петербург
Высшая Лига,Россия,Спорт,Средний,1995.0,,51,Анапа; Армавир; Волгоград; Воронеж; Домодедово; Краснодар; Новороссийск; Ростов-на-Дону; Рязань; Сочи; Ставрополь; Таганрог; Туапсе; Шахты
ВьетКафе,Россия,"Кафе, ресторан",Средний,2006.0,12.0,11 и 1 франчайзинговых,Москва; Рязань
Газовик,Россия,Бытовая техника,Средний,2002.0,,4,Пермь
Газпромбанк ,Россия,"Банк, кредит, заем",Средний,1990.0,,158,Москва; Санкт-Петербург; Астрахань; Барнаул; Брянск; Волгоград; Екатеринбург; Ижевск; Иркутск; Казань; Калининград; Кемерово; Кострома; Краснодар; Красноярск; Липецк; Махачкала; Нижний Новгород; Новосибирск; Новый Уренгой; Омск; Оренбург; Пермь; Ростов-на-Дону; Самара; Саратов; Ставрополь; Томск; Тула; Тюмень; Уфа; Ухта; Хабаровск; Чебоксары; Челябинск; Щелково; Якутск
Галамарт,Россия,Все для дома,Дисконт; Ниже среднего; Средний,2009.0,200.0,,Москва; Санкт-Петербург; Абакан; Балашиха; Белорецк; Березники; Воскресенск; Екатеринбург; Златоуст; Ижевск; Ишим; Казань; Каменск-Уральский; Киров; Клин; Когалым; Копейск; Красноярск; Курган; Лангепас; Лобня; Люберцы; Лянтор; Магнитогорск; Миасс; Московский; Мытищи; Надым; Нефтеюганск; Нижневартовск; Нижнекамск; Нижний Тагил; Новокузнецк; Новосибирск; Новоуральск; Новый Уренгой; Ногинск; Ноябрьск; Нягань; Одинцово; Омск; Оренбург; Пенза; Первоуральск; Пермь; Раменское; Реутов; Ростов-на-Дону; Салават; Самара; Сарапул; Саратов; Сергиев Посад; Серов; Сургут; Тобольск; Тольятти; Троицк; Тюмень; Уфа; Ханты-Мансийск; Челябинск; Чита; Шадринск; Энгельс; Югорск
Галерея Саквояж,Россия,Аксессуары,Средний,1998.0,,11,Краснодар; Севастополь; Симферополь 
ГаллаНск,Россия,Одежда,Ниже среднего,2001.0,,6,Барнаул; Красноярск; Новокузнецк; Новосибирск; Тюмень
Гамбринус,Россия,"Кафе, ресторан",Средний,2007.0,,6,Москва
Ганза,Россия,Парфюмерия и Косметика,Средний,1994.0,,45,Якутск
ГАРАЖ,Россия,Одежда,Дисконт; Ниже среднего; Средний,2007.0,,5,Саранск; Ульяновск
Гармония здоровья,Россия,Аптека,Средний,2011.0,,140,Абакан; Ангарск; Анжеро-Судженск; Ачинск; Барнаул; Железногорск; Зеленогорск; Иркутск; Кемерово; Красноярск; Лесосибирск; Новосибирск; Норильск; Сочи
Гастроном БиМ,Россия,Продукты питания,Средний,2002.0,,16,Москва; Красногорск
Где Тут Вход,Россия,Развлечения,Средний,2015.0,2.0,2 и 12 франчайзинговых,Новосибирск
Гемотест,Россия,"Здоровье, лечение, профилактика",Средний,2003.0,,27 и 110 франчайзинговых,Москва; Санкт-Петербург
ГИС 4geo ,Россия,Услуги населению,Ниже среднего,2008.0,17.0,1 и 16 франчайзинговых,Вологда; Воронеж; Ижевск; Кемерово; Красноярск; Нижневартовск; Новокузнецк; Новомосковск; Оренбург; Орск; Ростов-на-Дону; Сургут; Тула; Тюмень; Череповец
ГлавДоставка,Россия,Услуги для бизнеса (b2b),Средний,2008.0,,12 и 112 франчайзинговых,Москва; Санкт-Петербург; Абакан; Анапа; Архангельск; Астрахань; Барнаул; Белгород; Брянск; Владивосток; Владимир; Волгоград; Волжский; Воронеж; Геленджик; Евпатория; Екатеринбург; Иваново; Ижевск; Иркутск; Йошкар-Ола; Казань; Калининград; Калуга; Керчь ; Киров; Кострома; Краснодар; Красноярск; Курган; Курск; Липецк; Магадан; Магнитогорск; Майкоп; Махачкала; Набережные Челны; Невинномысск; Нижний Новгород; Новороссийск; Новосибирск; Омск; Орел; Оренбург; Пенза; Пермь; Пятигорск; Ростов-на-Дону; Самара; Саранск; Саратов; Севастополь; Симферополь ; Смоленск; Сочи; Ставрополь; Стерлитамак; Сургут; Сызрань; Сыктывкар; Тверь; Тольятти; Томск; Тула; Тюмень; Ульяновск; Уфа; Хабаровск; Чебоксары; Челябинск; Ярославль
ГлавХозТорг,Россия,Все для дома,Средний,2002.0,11.0,11,Альметьевск; Набережные Челны; Нижнекамск; Пермь
Глазовский,Россия,Вино и алкогольные напитки,Средний,1900.0,,83,Березники; Воткинск; Глазов; Ижевск; Киров; Пермь; Чайковский
Глобус Гурмэ,Россия,Продукты питания,Выше среднего; Люкс / Премиум,2006.0,,7,Москва; Санкт-Петербург
Гоголь-Моголь,Россия,Сувениры и Подарки,Средний,2019.0,3.0,3,Москва
ГОРЗДРАВ,Россия,Аптека,Дисконт; Ниже среднего; Средний,1989.0,1300.0,1300,Москва; Санкт-Петербург; Балашиха; Видное; Волоколамск; Волхов; Воскресенск; Гатчина; Дзержинский; Дмитров; Долгопрудный; Домодедово; Дубна; Егорьевск; Железнодорожный; Жуковский; Звенигород; Зеленоград; Истра; Кингисепп; Клин; Коломна; Колпино; Королев; Котельники; Красногорск; Лобня; Луховицы; Люберцы; Московский; Мытищи; Наро-Фоминск; Ногинск; Одинцово; Орехово-Зуево; Павловский Посад; Подольск; Пушкино; Раменское; Реутов; Сергиев Посад; Серпухов; Солнечногорск; Ступино; Троицк; Фрязино; Химки; Щелково; Щербинка; Электрогорск; Электросталь
Горилка,Россия,Вино и алкогольные напитки,Средний,2005.0,370.0,370 и 70 франчайзинговых,Бузулук; Кинель; Новокуйбышевск; Самара; Сызрань; Тольятти
Горки,Россия,Продукты питания,Дисконт,2018.0,,3,Орел
Город Игрушек,Россия,Товары и услуги для детей,Люкс / Премиум,2001.0,21.0,21,Москва; Истра; Красногорск; Мытищи; Сергиев Посад
Город красоты,Россия,Красота,Средний; Выше среднего,2002.0,26.0,26,Москва
Город Паровозиков,Россия,Товары и услуги для детей,Средний,2017.0,,1 и 5 франчайзинговых,Санкт-Петербург; Волгоград; Новосибирск; Самара
Городская Сорока,Россия,Книги и печатные издания,Средний,2010.0,,16,Бийск; Кемерово; Новосибирск
Городские кондитерские № 1,Россия,"Кафе, ресторан",Средний,1997.0,,7,Санкт-Петербург
Городской хлеб,Россия,"Кафе, ресторан",Средний,,,4,Химки
Грабли,Россия,"Кафе, ресторан",Средний; Выше среднего,2003.0,11.0,11 и 2 франчайзинговых,Москва
Градусы,Россия,Вино и алкогольные напитки,Средний,2012.0,147.0,147,Санкт-Петербург; Великий Новгород; Волхов
Гребень,Россия,Парфюмерия и Косметика,Средний,2009.0,,3,Уфа
Гриль Хаус,Россия,"Кафе, ресторан",Ниже среднего; Средний,2014.0,,2 и 16 франчайзинговых,Москва; Одинцово; Пенза
Гроздь,Россия,Продукты питания,Средний,1995.0,,235,Балаково; Балашов; Саратов; Энгельс
Громада,Россия,Мебель,Средний,1997.0,12.0,12,Барнаул; Кемерово; Киселевск; Ленинск-Кузнецкий; Новокузнецк; Прокопьевск; Томск
Грузинские каникулы,Россия,"Кафе, ресторан",Выше среднего,2001.0,15.0,15,Москва; Красногорск; Краснодар; Мытищи; Подольск; Пятигорск; Саратов
Губернские аптеки,Россия,Аптека,Ниже среднего; Средний,2004.0,,267,Красноярск; Норильск
Гулливер,Россия,Продукты питания,Средний; Выше среднего,2002.0,113.0,113,Балаково; Димитровград; Сызрань; Тольятти; Ульяновск
ГУСТО,Россия,Продукты питания,Люкс / Премиум,2015.0,,11,Москва
ДА!,Россия,Продукты питания,Дисконт,2015.0,,64,Москва; Балашиха; Видное; Волоколамск; Воскресенск; Дзержинский; Дмитров; Долгопрудный; Домодедово; Дубна; Егорьевск; Железнодорожный; Жуковский; Звенигород; Зеленоград; Истра; Калуга; Клин; Коломна; Королев; Котельники; Красногорск; Лобня; Луховицы; Люберцы; Московский; Мытищи; Наро-Фоминск; Новомосковск; Ногинск; Обнинск; Одинцово; Орехово-Зуево; Павловский Посад; Подольск; Пушкино; Раменское; Реутов; Рязань; Сергиев Посад; Серпухов; Солнечногорск; Старая Купавна; Ступино; Тверь; Троицк; Тула; Фрязино; Химки; Щелково; Щербинка; Электрогорск; Электросталь
Даблби,Россия,"Кафе, ресторан",Выше среднего,2012.0,77.0,34,Москва; Санкт-Петербург; Екатеринбург; Иркутск; Нижний Новгород; Тюмень
Давлекановские полуфабрикаты,Россия,Продукты питания,Средний,2007.0,,23 и 124 франчайзинговых,Уфа
Даджет,Россия,"Сотовые телефоны, электроника, фото",Средний; Выше среднего,1992.0,15.0,15 и 6 франчайзинговых,Москва; Санкт-Петербург; Архангельск; Белгород; Воскресенск; Екатеринбург; Иркутск; Казань; Калининград; Киров; Королев; Кострома; Мурманск; Нижний Новгород; Новосибирск; Обнинск; Рязань; Сергиев Посад; Смоленск; Сочи; Томск; Уфа; Фрязино
Дайте Два,Россия,"Кафе, ресторан",Средний,2015.0,,10,Москва
Дамский Угодник,Россия,Ювелирные магазины,Средний,2001.0,,17,Новосибирск; Пермь; Чита
ДАНДИ,Россия,Обувь,Средний,1998.0,,27,Санкт-Петербург; Архангельск; Великий Новгород; Вологда; Гатчина; Кингисепп; Колпино; Петрозаводск; Череповец
Даниэль,Россия,Товары и услуги для детей,Люкс / Премиум,1995.0,,5,Москва
Данкин Донатс,Россия,"Кафе, ресторан",Средний,1950.0,12000.0,34 и 7 франчайзинговых,Москва
Дары востока,Россия,"Кафе, ресторан",Средний,2011.0,4.0,4 и 5 франчайзинговых,Иркутск; Новосибирск; Самара; Якутск
Дачник,Россия,Все для дома,Средний,1998.0,,6,Рязань; Тамбов
Два шага,Россия,Продукты питания,Средний,1995.0,,1,Красноярск
Двери Гранит,Россия,Ремонт и строительство,Средний; Выше среднего,2005.0,5.0,5 и 3 франчайзинговых,Москва; Санкт-Петербург
Де-Марко,Россия,"Кафе, ресторан",Средний,2004.0,7.0,7,Москва
Девочкам и мальчикам,Россия,Товары и услуги для детей,Средний,1997.0,,4,Красноярск
Декатлон,Франция,Спорт,Ниже среднего; Средний,1300.0,,49,Москва; Санкт-Петербург; Брянск; Владимир; Волгоград; Воронеж; Екатеринбург; Иваново; Казань; Кострома; Краснодар; Магнитогорск; Набережные Челны; Нижний Новгород; Оренбург; Пермь; Ростов-на-Дону; Рязань; Самара; Саратов; Тверь; Тольятти; Тула; Ульяновск; Уфа; Ярославль
Дело не в вине,Россия,"Кафе, ресторан",Средний,2020.0,1.0,1,Ижевск
День пиццы,Россия,"Кафе, ресторан",Средний,2014.0,,4,Воронеж; Старый Оскол
День Сурка,Россия,"Туризм, путешествия",Средний,2003.0,,9,Москва; Санкт-Петербург
Деревенька,Россия,Продукты питания,Средний,2015.0,6.0,3 и 3 франчайзинговых,Москва; Красногорск; Люберцы
Десяточка,Россия,Парфюмерия и Косметика,Средний,2000.0,,51,Великий Устюг; Вологда
Детки,Россия,Товары и услуги для детей,Дисконт; Ниже среднего; Средний,,,31,Москва; Санкт-Петербург; Раменское; Щелково
Детский Крым,Россия,Товары и услуги для детей,Ниже среднего; Средний; Выше среднего,1998.0,,17,Евпатория; Севастополь; Симферополь ; Ялта
